File Used,Matching Request Item From File,Applicable Department
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of the Target's compliance program and copies of all policies, procedures and other documentation related thereto (e.g., code of conduct, anti-corruption, anti-trust, export control, etc.).",Legal
DealRoom - Master Diligence Request List.xlsx,"Please confirm that neither the Target nor any of its diretors, officers, or signifcant shareholders is subject to any of the ""Bad Actor"" disqualifications described under Rule 506(d) of the Securities Act.",Legal
DealRoom - Master Diligence Request List.xlsx,"Please confirm that the Target is not, and has not been, restricted from doing business under OFAC regulations or any other similar regulation.",Legal
DealRoom - Master Diligence Request List.xlsx,Please confirm whether the Target has any direct or indirect presence and/or other engagements (including sales of product or the provision of services) involving any country or person subject to any embargo or sanctions imposed by the U.S. government or any other applicable governmental authority.,Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all material regulations applicable to the Target and/or its business, including any anticipated changes thereto.",Legal
DealRoom - Master Diligence Request List.xlsx,Please provide copies of any material correspondence with any regulatory agencies or authorities.,Legal
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all product recalls conducted by the Target in the last 5 years.,Legal
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all material warranty claims brought within the last 5 years.,Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a list of the address and description of each office, manufacturing, warehouse or other facility operated or maintained by the Target, including the amount of floor space, estimated remaining life and whether owned or leased.",Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of deeds with respect to all owned real estate, including copies of all related title papers, title insurance policies, appraisals and surveys.",Legal
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all lease agreements.,Legal
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all agreements related to the purchase and/or sale of real property consummated within the past five years.,Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a list of the top 25 customers for each of the past 3 years, including revenue.",Sales
DealRoom - Master Diligence Request List.xlsx,"Please provide a list of all material customers that have ceased doing business with the Target in the past 12 months, including a description of the circumstances surrounding the termination of any such relationship.",Sales
DealRoom - Master Diligence Request List.xlsx,"Please provide a list of all material sales channel partners for each of the past 3 years, including revenue (e.g., sales reps and/or distributors).",Sales
DealRoom - Master Diligence Request List.xlsx,Please provide a breakdown of sales and gross profits by: Product Type; Geography; Sales Channel.,Sales
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all material customer contracts.,Sales
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all contracts with material sales channel partners (e.g., sales reps and/or distributors).","Sales, Legal"
DealRoom - Master Diligence Request List.xlsx,"To the extent not previously provided, please provide copies of all contracts pursuant to which any third party is entitled to commissions or other payments.","Sales, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all contracts with government customers.,"Sales, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all material contracts that have remaining terms longer than one year.,"Sales, Legal"
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of policies and procedures related to credits, returns, warranty claims, etc.","Sales, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of policies and procedures related to pricing.,"Sales, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of any strategic plans prepared for the Target.,Sales
DealRoom - Master Diligence Request List.xlsx,Please provide copies of any marketing/advertising plans prepared for the Target.,"Sales, Marketing"
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of anticipated new products and/or product improvements.,Sales
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all brochures, presentations, sales sheet, and other advertising and/or marketing materials.",Sales
DealRoom - Master Diligence Request List.xlsx,Please provide product descriptions for all material products and product lines.,Sales
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all ongoing R&D projects, including an estimated timeline for completion thereof.",Sales
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all marketing risks and opportunities identified by the Target.,Marketing
DealRoom - Master Diligence Request List.xlsx,"Please provide a list of the top 15 suppliers for each of the past 3 years, including spend.",Manufacturing
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all material supplier contracts.,"Legal, Manufacturing"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all material subcontractor contracts.,"Legal, Manufacturing"
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of the policies and procedures utilized when evaluating and onboarding any new supplier or subcontractor and all documentation related thereto.,"Legal, Manufacturing"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of audited financial statements for the Target and each subsidiary and affiliates for the past 5 completed fiscal years.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide copies of unaudited financial statements for the Target and each subsidiary and affiliates for the applicable current fiscal year period(s).,Finance
DealRoom - Master Diligence Request List.xlsx,"Please provide a detailed description of any off-balance sheet/statement of financial position items, liabilities or obligations of any nature (fixed or contingent) that are not shown or otherwise provided for in the Target’s current financial statements.",Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a schedule and description of any contingent liabilities not disclosed or referred to in the financial statements.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a detailed schedule of the components of all prepaid expenses and deposits.,Finance
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of any letters issued by the Target’s auditors during the last 5 years regarding the Target’s accounting controls, method of accounting and other procedures, including all Management Representation Letters.",Finance
DealRoom - Master Diligence Request List.xlsx,"If the financial statements provided were not prepared in accordance with GAAP, please provide a summary of all key accounting policies necessary to the understanding of the financial statements.",Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all material changes to accounting policies adopted by the Target in the past 5 years and the reasons such changes were undertaken.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all budgets and operating plans prepared for the Target for at least the next 12 months.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all financial projections prepared for the Target for at least the next 12 months.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of any cash management controls and practices adopted by the Target.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of the Target's investment policies.,Finance
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of the Target's hedging policies, including copies of all contracts or instruments related thereto.",Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a report reflecting all aged accounts receivable trial balances for Target.,Finance
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of the Target’s inventory costing system and other procedures and policies related to inventory (e.g., counts, valuation, turnover, obsolescence, etc.).",Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a detailed description of any bad debts and any agreements or arrangements that are expected to result in a loss to the Target.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a schedule and detailed description of any reserves/contingency funds established for specific risk situations.,Finance
DealRoom - Master Diligence Request List.xlsx,"Please provide a current listing of standby letters of credit, performance bonds, performance guarantees and similar credit support obligations.",Finance
DealRoom - Master Diligence Request List.xlsx,Please provide copies of recent bank reconciliations and bank statements for all material bank accounts.,Finance
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all material capital expenditure projects completed in the last 3 years, including any contracts or other documnentation related thereto.",Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all capital expenditures planned in the next 12 months.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a current fixed asset register and/or copy of latest physical inventory of all equipment and other assets.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a schedule of equipment split by capital vs. operating lease and provide copies of all lease agreements related thereto.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all current insurance coverages and copies of all policy documents related thereto.,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all claims made against any insurance policy within the last 5 years.,Finance
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all employment agreements and indicate those affected by the transaction (e.g., severance payments, termination, etc.).","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all consulting agreements.,"HR, Legal"
DealRoom - Master Diligence Request List.xlsx,"To the extent not already provided, please provide copies of all agreements relating to any compensation arrangements between the Target and any third party.","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all collective bargaining agreements.,"HR, Legal"
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all confidentiality, non-competition, nondisclosure, non-solicitation, intellectual property, or similar agreements.","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of any severance agreements under which the Target has or may have outstanding liabilities whether as a result of the proposed transaction or otherwise.,"HR, Legal"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any current recruitment initiatives, including any financial commitments related thereto (e.g., payments due to recruitment agents in the instance that a candidate is successfully placed with the Target).","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all benefits.,HR
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of plan documents for all benefit plans, including copies of all Form 5500 or other applicable regulatory filings for the past 5 years.",HR
DealRoom - Master Diligence Request List.xlsx,Please provide a copy of the Target's compensation policy.,"HR, Finance"
DealRoom - Master Diligence Request List.xlsx,Please provide details of bonus or other profit-related schemes and details of beneficiaries/participants.,"HR, Finance"
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all incentive stock option plans and copies of any plan documents related thereto.,"HR, Finance"
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all outstanding stock option awards and copies of any award documents related thereto.,"HR, Finance"
DealRoom - Master Diligence Request List.xlsx,Provide a list and detailed summary of all pension pension plans.,"HR, Finance"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all litigation against the Target brought by any current or former employee in the last ten 10 years (e.g., discrimination, etc.).","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide a description of any court judgement or current employment tribunal award in respect of any employee dispute within the past 12 months.,"HR, Legal"
DealRoom - Master Diligence Request List.xlsx,"Please provide details of any disciplinary proceedings taken against an employee or grievance brought by an employee in the past 3 years, whether brought under the Target’s disciplinary or grievance procedure or otherwise.","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any investigations and proceedings by authorities relating to employment matters, including the results thereof (e.g., administrative decrees, judgments, decisions, opinions or settlement agreements issued or entered into either for or against the Target).","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide a headcount by function and location.,HR
DealRoom - Master Diligence Request List.xlsx,Please provide a schedule of any employees suspended – including reasons for suspension and salary implications.,HR
DealRoom - Master Diligence Request List.xlsx,Please provide a schedule of employees dismissed in the last 12 months (including details of why) and any potential constructive dismissals.,HR
DealRoom - Master Diligence Request List.xlsx,"Please provide a schedule of all employees absent from work due to disability, long-term illness, or otherwise.",HR
DealRoom - Master Diligence Request List.xlsx,Please provide a schedule of employees covered by any disability legislation applicable in the jurisdiction in which the Target operates.,HR
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all employee handbooks and other employee policies.,"HR, Legal"
DealRoom - Master Diligence Request List.xlsx,"Please provide a detailed summary of the Target's hiring practices and policies, including use of background checks, verification of immigration status, and any other applicable policies.","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any changes that have been agreed within the past 12 months or that are contemplated in relation to terms and conditions, handbooks, policies, benefits and redundancy arrangements and the date that any such changes will come into force.","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide a detailed schedule of any loans granted to employees (terms/conditions/tax implications) and all sums owed.,"HR, Finance"
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all patents and registered trademarks held by the Target.,Legal
DealRoom - Master Diligence Request List.xlsx,Please provide a schedule of all websites and domains owned or run by the Target and any terms and conditions related thereto.,Legal
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all agreements under which the Target is granted the right to use IP owned by a third party.,Legal
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all agreements under which a third party is granted the right to use IP owned by the Target.,Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any IP that is not solely owned by the Target (e.g., joint ownership, non-exclusive license, etc.), including any contracts or other documentation related thereto.",Legal
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of any past or current instances where any third party actually or allegedly infringed on the Target's IP or where the Target actually or allegedly infringed on a third party's IP.,Legal
DealRoom - Master Diligence Request List.xlsx,Please provide a detailed summary of any restrictions to which IP assets of the Target are subject.,Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all IP litigation in which the Target is or has been involved, including the current status or outcome thereof (e.g., court orders, settlements, etc.).",Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of the Target's process for generating/developing, recognizing, capturing, and protecting (for instance, via patents) IP assets.",Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide details of any current and planned IT initiatives/key projects - including details of key benefits to be realized, capital budget, total budget, time and cost incurred to date and estimated time and cost to completion.",IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all key IT resources (hardware/software/people) and the extent to which the Target depends on any such resources.,IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of the Target's policies and practices regarding the purchase and maintenance of software (e.g. (i) how often is software purchased (ii) who makes the purchase (iii) is software renewed and renegotiated on an annual basis).,IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all material software utilized by the Target.,IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of the Target's policies and practices regarding the purchase and maintenance of IT hardware (e.g. (i) how often is hardware purchased and (ii) who makes the purchase).,IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all material hardware utilized by the Target, including the physical location thereof.",IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a diagram of the Target's technical architecture including servers, storage devices, operating systems and databases.",IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a detailed description of the networking systems utilized by the Target, including a depiction of topology, inventory, connectivity, bandwith, instances of downtime in the past 12 months, etc.",IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of an specific hardware configurations utilized by the Target.,IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any vendor support or other support services to which the Target is entitled or that the Target utilizes, including any contracts or other documentation related thereto.",IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of annual costs associated with maintenance of IT hardware for the past 3 years, including details related to the replacement and/or upgrade of such hardware.",IT
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all material contracts related to software and/or IT services obtained by the Company.,IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of services provided by all external IT contractors/consultants and copies of all contracts related thereto.,IT
DealRoom - Master Diligence Request List.xlsx,Describe the capacity for growth in the Target's current IT environment. If IT is being fully utilized to what extent is investment required to support intended future growth?,IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of how technology acquired by the Target, including sourcing methods and delegation of responsibility therefor.",IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of the Target's support/help desk effectiveness and approach (e.g., in-house or out-sourced).",IT
DealRoom - Master Diligence Request List.xlsx,Provide a summary of the role of technology/IT in the Target's strategic plan.,IT
DealRoom - Master Diligence Request List.xlsx,Describe the level of automation made possible via the Target's IT systems (software & hardware) and the sufficiency of such capabilities given the Target's business.,IT
DealRoom - Master Diligence Request List.xlsx,Please provide a description of any web-based or internet facing applications hosted by the Target.,IT
DealRoom - Master Diligence Request List.xlsx,Please provide a detailed description of the key security protocols adopted by the Target.,IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a detailed description of the Target's policies and procedures related to backups and/or disaster recovery, including all documentation related thereto.",IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a detailed description of the Target's data privacy policies and procedures, including all documentation related thereto.",IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all personal and/or sensitive information held and/or processed by the Target, including information about users that have access to such information and policies and procedures regarding protection thereof.",IT
DealRoom - Master Diligence Request List.xlsx,"Please provide the results of any stress test analysis undertaken by the Target, including the resolution of any issues identified.",IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all monitoring measures/tests conducted by the Target to ensure IT security systems are working as expected.,IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a detailed summary of any logged security issues, including all actions taken to remedy such issues.",IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a detailed summary of the Target's policies and procedures regarding data storage (e.g., devices utilized, use of cloud storage, security measures, capacity, etc.).",IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of the Target's policies and practices regarding data encryption.,IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any issues or concerns related to the Target's use of e-mail, including loss of confidential information, inappropriate or malicious content, etc.",IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of any anti-virus and/or anti-malware protections utilized by the Target.,IT
DealRoom - Master Diligence Request List.xlsx,Please provide a detailed description of any cyber attacks/intrusions that the Target has been subjected to in the past 12 months.,IT
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all policies and procedures utilized by the Target to manage the security of mobile devices.,IT
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all environmental investigations, citations, or notices of violation received within the last 10 years from any environmental regulatory agency (i.e., federal, state, local, or provincial, including all non-U.S. equivalents).",Facilities
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all litigation in which the Target has been involved in the last ten 10 years related to environmental matters (e.g., operations, asbestos, migratory contamination, etc.).",Facilities
DealRoom - Master Diligence Request List.xlsx,"Please provide a detailed description of any past or on-going remediation efforts relating to environmental matters, including any existing conditions that may trigger requirements or liabilities for remediation.",Facilities
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of any documents concerning past or present enforcement actions (notices of violation, orders, consent orders, etc.) against any premises owned or operated by the Target resulting from non‑compliance with environmental laws.",Facilities
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all dedicated reserves for management of environmental liabilities and the Target's policies and procedures for establishing the amount of any such reserves.,Facilities
DealRoom - Master Diligence Request List.xlsx,"Please provide all information and correspondence regarding generation, treatment, storage and disposition of hazardous substances (including, without limitation, permits, spill reports and notifications, manifests, and a list of on-site and off-site waste disposal sites).",Facilities
DealRoom - Master Diligence Request List.xlsx,Please provide copies of any material correspondence with any environmental regulatory agencies.,Facilities
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of any material financial losses suffered as a result of environmental matters and/or acts of God.,Facilities
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of the results of all environmental audits conducted in the past 5 years, including the resolution of any findings.",Facilities
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all environmental studies, assessments and surveys relating to the Target in respect of land and premises owned or operated by the Target and if possible, adjacent land and premises, including the results of any soil and/or groundwater testing.",Facilities
DealRoom - Master Diligence Request List.xlsx,"Please desscribe any off-site liability risks arising from arrangements for the treatment or disposal of materials, liquids, or gases used by the Target.",Facilities
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all permits and other governmental approvals and related applications relating to environmental matters.,Facilities
DealRoom - Master Diligence Request List.xlsx,Please provide a description of any currently existing aboveground or underground storage tanks or tanks previously located at any premises owned or operated by the Target.,Facilities
DealRoom - Master Diligence Request List.xlsx,"Please provide a description of all wastes generated or handled at the Target’s premises, the quantities of each, and how they are handled, stored, and disposed.",Facilities
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all investigations, citations, or notices of violation related to employee health and/or safety received within the last 10 years from any applicable regulatory agency (i.e., federal, state, local, or provincial, including all non-U.S. equivalents).",HR
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all current or past litigation (including regulatory and/or other government proceedings or other proceedings instituted under any mechanism for alternative dispute resolution) brought against the Target by any current or former employee, including the current status or outcome thereof (e.g., court orders, settlements, etc.).","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of the results of all health and safety audits conducted in the past 5 years, including the resolution of any findings.",Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any accidents within the last 5 years, including whether proceedings have been brought or threatened in respect of such accidents and details of any other accidents or injuries in respect of which proceedings are outstanding.",Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all workers' compensation claims filed in the last 5 years, including any liabilities associated therewith and the outcome thereof.","HR, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all material safety data sheets for materials produced or used at any premises owned or operated by the Target.,"Legal, Facilities"
DealRoom - Master Diligence Request List.xlsx,"Please provide a detailed summary of all emergency response policies and procedures, including copies of all SOPs and other documentation related thereto.","Facilities, Legal, Manufacturing"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of the results of all tax audits conducted in the past 5 years, including the resolution of any findings.",Finance
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all property taxes paid by the Target in the past 5 years.,"Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all federal, state and local tax returns of the Target for the past 5 years.","Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all material communications and agreements between the Target and any taxing authority for the preceding 5 years.,"Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of any tax sharing, tax allocation or related inter-company agreements.","Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all deferred tax assets, valuation allowances and deferred tax liabilities.","Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all policies regarding taxes, including transfer pricing policies and any present or past transfer pricing audits.","Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of any loss surrenders made in return for R&D tax credits paid by the relevant tax authority.,"Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any tax assets (e.g. carried forward trading or capital losses, excess management expenses), including details of how they are reflected in the statutory accounts.","Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of any sale and leaseback transactions.,Finance
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any overseas activities (e.g., representative offices/branches/permanent establishments) and the tax filing position in respect thereto, including a summary of any matters under investigation by a relevant taxing authority.","Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,Please details regarding the tax base cost of major assets where their base cost is other than original cost (plus indexation for inflation).,Finance
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any tax planning or re-organization involving the Target in the past 5 years and any proposed pre-sale re-organizations, including any disclosures or clearance applications from any relevant taxing authority in relation thereto.","Finance, Tax"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of any previous audits or investigations related to employment taxes by the relevant taxing authority, including the disposition thereof.","Finance, Tax"
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,"All agreements or documents relating to or evidencing borrowings (other than accounts payable incurred in the ordinary course) of the Company or any Subsidiary, whether secured or unsecured.",Finance
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,Bank letters or agreements confirming any other lines of credit in favor of the Company or any Subsidiary.,Finance
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,"All documents and agreements evidencing other financing arrangements to which the Company or any Subsidiary is a party or under which the Company or any Subsidiary is otherwise obligated, including sale and leaseback arrangements, capitalized leases, real estate and other installment purchases, make-whole agreements (or covenants) and guarantees.",Finance
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,All acquisition agreements and related documents and schedules regarding the Company’s acquisition of its Subsidiaries.,Legal
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,All documents relating to any material acquisition or disposition of assets by the Company or any Subsidiary in the last ten years (whether or not the Company or any Subsidiary retains the related property or assets).,Legal
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,"All joint venture, partnership, or other management, operating, or consulting agreements relating to the Company or any Subsidiary.",Legal
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,"All franchise, conditional sales contracts and consignment agreements to which the Company or any Subsidiary is a party.",Legal
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,"All material agreements encumbering real or personal property owned by the Company or any Subsidiary, including all mortgages, deeds of trust, and security agreements.",Facilities
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,All real estate contracts of the Company and each Subsidiary.,Facilities
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,Deeds and title policies relating to any real property owned by the Company or any Subsidiary.,Facilities
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,All leases of real or material personal property (including computer leasing agreements) to which the Company or any Subsidiary is lessee or lessor or to which the Company or any Subsidiary proposes to become a lessee or lessor.,Facilities
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,"All agreements between the Company and its 20 largest customers, and a form (or forms) of any agreement typically used by the Company in provided goods or services to its customers, together with copies or descriptions of significant variations from such form (or forms) in the case of particular customers. All material customer purchaser orders.","Sales, Legal"
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,"A list of the Company’s 20 largest customers and vendors, determined by annual revenues and expenditures, respectively.","Sales, Legal"
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,All agreements related to the distribution by the Company or its Subsidiaries of products in the ordinary course of business.,"Sales, Legal"
Devensoft M&A Best Practices  - Due Diligence Requests.xlsx,All contracts under which the Company (or any of its Subsidiaries) has agreed to refrain from competing with any other person or entity or otherwise to refrain from engaging in any particular business activity (whether in a particular geographic area or otherwise).,Legal
